image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,parent,d_hash
https://i1.wp.com/www.nationalreview.com/wp-content/uploads/2018/12/mom-baby.jpg?fit=1200%2C700&ssl=1,1180156150,1117,Life Is Under Attack,https://www.nationalreview.com/2019/01/life-is-under-attack-pro-abortion-rampant-in-america/,National Review,http://www.nationalreview.com/,2019-01-31 11:46:48,1,476794,[3688],0,1
https://static.foxnews.com/foxnews.com/content/uploads/2019/01/Gov-Andrew-Cuomo.jpg,1173399814,1092,New York 'celebrates' legalizing abortion until birth as Catholic bishops question Cuomo's faith,http://feeds.foxnews.com/~r/foxnews/politics/~3/E6XrHv50Yfs/new-york-celebrates-legalizing-abortion-until-birth-as-catholic-bishops-question-cuomos-faith,FOX News,http://www.foxnews.com/,2019-01-23 15:51:01,2,382249,[3690],0,2
https://www.lifesitenews.com/images/made/images/local/one_world_trade_center_pink_for_abortion_1024_512_75_s_c1.jpg,1173278386,19697,New York celebrates legalizing abortion until birth by lighting One World Trade Center pink,https://www.lifesitenews.com/news/new-york-celebrates-legalizing-abortion-until-birth-by-lighting-one-world-t,lifesitenews.com,http://www.lifesitenews.com,2019-01-23 11:10:00,1,284282,[3690],0,3
"https://i.kinja-img.com/gawker-media/image/upload/s--3fSrGVOs--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/dezarxfrrsh4f16ir2fg.png",478299795,5880,Interview With a Woman Who Recently Had an Abortion at 32 Weeks,http://feeds.gawker.com/~r/gawker/full/~3/dOfD6xqtaIo/interview-with-a-woman-who-recently-had-an-abortion-at-1781972395,Gawker,http://gawker.com,2016-06-15 11:30:00,2,176102,[3687],0,4
http://cdn.theatlantic.com/static/front/images/default_thumbnail.png,260590966,1110,Why Dr. Kermit Gosnell&#039;s Trial Should Be a Front-Page Story,http://www.theatlantic.com/national/archive/2013/04/why-dr-kermit-gosnells-trial-should-be-a-front-page-story/274944/,The Atlantic,http://www.theatlantic.com/,2014-07-11 21:30:02,2,175431,[3687],0,5
https://media.swncdn.com/cms/RT/64494-new-born-julie-johnson-692218-unsplash.1200w.tn.jpg,1232653554,129203,Democrat Admits: Her Bill ‘Would Allow’ Abortion during Labor,https://www.christianheadlines.com/contributors/michael-foust/democrat-admits-her-bill-would-allow-abortion-during-labor.html?utm_source=cross&utm_medium=fbpage&utm_campaign=cdupdate,christianheadlines.com,http://christianheadlines.com/,2019-03-25 14:45:02.890380,1,173920,[3690],0,6
http://thehill.com/sites/default/files/pencemike_022218gn8_lead.jpg,839496994,18364,Pence: Abortion will end in U.S. 'in our time',http://thehill.com/policy/healthcare/375852-pence-says-abortion-will-end-in-us-in-our-time,The Hill,http://thehill.com/rss/syndicator/19109,2018-02-27 19:56:47,1,171824,[3686],0,7
https://cbsnews1.cbsistatic.com/hub/i/r/2019/05/15/1273c667-b76e-4271-8ce4-53dee864a454/thumbnail/1200x630/5a0b7be461cab49a7686aa0f021742a3/2019-05-15t020012z-1738697895-rc1274eff540-rtrmadp-3-usa-abortion-alabama.jpg,1283995119,18957,Alabama Passes Near-Total Abortion Ban With No Exceptions For Rape Or Incest,https://www.cbsnews.com/news/alabama-abortion-law-passed-alabama-passes-near-total-abortion-ban-with-no-exceptions-for-rape-or-incest-2019-05-14/,newyork.cbslocal.com,http://newyork.cbslocal.com,2019-05-15 14:50:24,39,141148,[3686],0,8
https://www.trbimg.com/img-5cd7323b/turbine/ct-perspec-zorn-abortion-rape-heartbeat-ohio-child-argentina-20190509,1280845594,658831,Should 11-year-old girls have to bear their rapists&#39; babies&quest; Ohio says yes.,https://www.chicagotribune.com/columns/eric-zorn/ct-perspec-zorn-abortion-rape-heartbeat-ohio-child-argentina-20190509-story.html,State News - United States - Ohio,http://www.ohio.statenews.net/,2019-05-12 03:04:51,1,131277,[],0,9
https://www.trbimg.com/img-5cd7323b/turbine/ct-perspec-zorn-abortion-rape-heartbeat-ohio-child-argentina-20190509,1280834228,375846,Should 11-year-old girls have to bear their rapists&#39; babies&quest; Ohio says yes.,https://www.chicagotribune.com/columns/eric-zorn/ct-perspec-zorn-abortion-rape-heartbeat-ohio-child-argentina-20190509-story.html,Big News Network.com - Paris News,http://www.bignewsnetwork.com/index.php/cat/fab36d240e1883d4/,2019-05-12 03:04:51,2,131022,[],0,10
